City_ID,City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,redcar,54.6166,-1.06,58.53,72,72,1.99,GB,1662865455
133,matagami,49.7502,-77.6328,58.51,90,36,4.41,CA,1662865458
134,peleduy,59.6289,112.7406,54.07,50,56,6.73,RU,1662865460
135,cape canaveral,28.4058,-80.6048,79.99,90,100,7.87,US,1662865222
136,nuuk,64.1835,-51.7216,54.21,50,75,29.93,GL,1662865464
137,tilichiki,60.4667,166.1,51.31,79,99,6.64,RU,1662865467
138,blyth,55.1271,-1.5086,54.46,96,96,3.44,GB,1662865469
139,mount isa,-20.7333,139.5,83.97,18,26,13.8,AU,1662865211
140,pevek,69.7008,170.3133,41.22,81,12,5.84,RU,1662865473
141,stornoway,58.2093,-6.3865,53.56,95,100,4.61,GB,1662865478
142,charters towers,-20.1,146.2667,84.42,27,0,4.14,AU,1662865480
143,marawi,7.9986,124.2928,84.24,52,85,1.3,PH,1662865482
144,bubaque,11.2833,-15.8333,80.44,83,98,13.33,GW,1662865485
145,alamogordo,32.8995,-105.9603,76.35,54,0,4.61,US,1662865487
146,saldanha,-33.0117,17.9442,55.24,91,89,5.5,ZA,1662865491
147,tucuma,-0.1833,-50.05,76.42,89,100,6.31,BR,1662865494
148,maceio,-9.6658,-35.7353,73.31,83,36,7.31,BR,1662865209
149,plavinas,56.6178,25.7255,43.45,68,100,8.28,LV,1662865498
150,la paz,-16.5,-68.15,45.68,69,7,3.31,BO,1662865380
151,castanheira de pera,40.0072,-8.2105,58.23,74,29,2.55,PT,1662865503
152,hays,30.0502,-98.0336,83.62,61,80,4.14,US,1662865505
153,shache,38.4167,77.2406,81.01,12,100,6.49,CN,1662865509
154,sala,34.0389,-6.8166,68.76,100,40,3.44,MA,1662865513
155,deputatskiy,69.3,139.9,40.91,58,100,17.47,RU,1662865515
156,upernavik,72.7868,-56.1549,43.3,96,100,6.42,GL,1662865517
157,kavieng,-2.5744,150.7967,83.59,71,34,12.15,PG,1662865520
158,edd,13.9297,41.6925,90.63,61,59,2.13,ER,1662865522
